total_value,portfolio_delta,eth_delta,btc_delta,eth_price,btc_price,max_deviation,rebalance_count,total_costs
992892.3790502617,-0.004689620505685407,-0.006020908706964909,-0.0025530519808436283,2512.673095703125,104298.453125,0.006020908706964909,3,20.414782723277806
992470.4472109628,-0.004970201414054137,-0.006526200996361704,-0.00247444561424936,2510.135009765625,104314.8515625,0.006526200996361704,3,20.414782723277806
991509.0224538542,-0.005610126067010424,-0.007655511325346133,-0.002333554239150738,2504.4716796875,104344.25,0.007655511325346133,3,20.414782723277806
987524.4165732731,-0.008270992041544089,-0.010520955693128619,-0.004668546943402254,2490.15869140625,103858.09375,0.010520955693128619,3,20.414782723277806
988347.0736924174,-0.00772047985684983,-0.009840537457415574,-0.0043249036731443586,2493.550048828125,103929.5,0.009840537457415574,3,20.414782723277806
989611.6126017588,-0.006875436978768828,-0.009057753933924273,-0.0033807205496461544,2497.457275390625,104125.9453125,0.009057753933924273,3,20.414782723277806
986825.8040402253,-0.008738967589166905,-0.011682834120169159,-0.0040338931878598355,2484.378173828125,103990.0078125,0.011682834120169159,3,20.414782723277806
989436.7443044654,-0.006992210306468388,-0.009758700215191615,-0.0025686698635540737,2493.958251953125,104295.1953125,0.009758700215191615,3,20.414782723277806
993431.1473688668,-0.004331572055138997,-0.006515162356311552,-0.000834877853010615,2510.1904296875,104657.4765625,0.006515162356311552,3,20.414782723277806
996264.4598917546,-0.002452833870529025,-0.003722262079646022,-0.00041523228125128065,2524.25146484375,104745.3515625,0.003722262079646022,3,20.414782723277806
1000270.2073247918,0.00019137105294893484,-0.0008658591815975894,0.0018892894038122076,2538.71337890625,105229.2421875,0.0018892894038122076,3,20.414782723277806
1000336.0416962419,0.0002347119949182296,-0.0004605832950554541,0.0013524137892026763,2540.77197265625,105116.3125,0.0013524137892026763,3,20.414782723277806
995680.0575347022,-0.0028397690108843015,-0.004723794572495173,0.0001795326986268099,2519.2001953125,104870.0234375,0.004723794572495173,3,20.414782723277806
997634.9248574559,-0.0015466136038418054,-0.0034735200571531476,0.0015410453012851073,2525.507568359375,105155.9765625,0.0034735200571531476,3,20.414782723277806
997519.7248490142,-0.001622726555766653,-0.0031153451973025795,0.0007717306862080684,2527.3173828125,104994.3046875,0.0031153451973025795,3,20.414782723277806
1001095.3450666337,0.0007343150361082682,-0.0007794125184747244,0.0031624796000360995,2539.15234375,105497.5390625,0.0031624796000360995,3,20.414782723277806
1000574.6133128797,0.00039174009693159883,-0.001453543988092476,0.003349206583228835,2535.731201171875,105536.9453125,0.003349206583228835,3,20.414782723277806
1001005.8939005508,0.0006754843057533935,-0.0013848529455944229,0.003975770380666548,2536.07958984375,105669.28125,0.003975770380666548,3,20.414782723277806
1000236.9548472351,0.00016947841989629122,-0.0016638635906874582,0.0031078994627007535,2534.664794921875,105486.0234375,0.0031078994627007535,3,20.414782723277806
998922.6506718738,-0.000696596412396832,-0.002993354536281366,0.0029801645082906374,2527.93408203125,105459.078125,0.002993354536281366,3,20.414782723277806
994362.035565955,-0.003713534113656351,-0.00674717060566129,0.0011337097080834988,2509.02587890625,105070.34375,0.00674717060566129,3,20.414782723277806
991865.5884752419,-0.005372700546196178,-0.008963387397848393,0.00035646895043690456,2497.9287109375,104907.140625,0.008963387397848393,3,20.414782723277806
